Date,Open,High,Low,Close,Adj Close,Volume
2017-02-06,4.297450,4.304900,4.273000,4.297200,4.297200,0
2017-02-07,4.292600,4.308300,4.269000,4.293800,4.293800,0
2017-02-08,4.306240,4.319100,4.293000,4.306160,4.306160,0
2017-02-09,4.309890,4.323300,4.303000,4.313300,4.313300,0
2017-02-10,4.310710,4.315800,4.285000,4.311500,4.311500,0
2017-02-13,4.292250,4.322260,4.289000,4.293510,4.293510,0
2017-02-14,4.309450,4.317700,4.294220,4.308910,4.308910,0
2017-02-15,4.301700,4.311510,4.294000,4.301200,4.301200,0
2017-02-16,4.311400,4.322110,4.306000,4.306980,4.306980,0
2017-02-17,4.314650,4.334540,4.307000,4.315300,4.315300,0
2017-02-20,4.327500,4.332300,4.313500,4.326720,4.326720,0
2017-02-21,4.314070,4.318150,4.296000,4.314100,4.314100,0
2017-02-22,4.293090,4.305540,4.285000,4.293090,4.293090,0
2017-02-23,4.297290,4.311750,4.292000,4.297290,4.297290,0
2017-02-24,4.301300,4.312260,4.297000,4.301800,4.301800,0
2017-02-27,4.311590,4.317890,4.305000,4.314600,4.314600,0
2017-02-28,4.310590,4.319300,4.309000,4.312300,4.312300,0
2017-03-01,4.304370,4.307900,4.291000,4.304360,4.304360,0
2017-03-02,4.279650,4.304650,4.276000,4.278590,4.278590,0
2017-03-03,4.295760,4.313110,4.288000,4.297400,4.297400,0
2017-03-06,4.299950,4.316300,4.297440,4.300190,4.300190,0
2017-03-07,4.305930,4.312800,4.298000,4.306500,4.306500,0
2017-03-08,4.302830,4.313500,4.300000,4.302890,4.302890,0
2017-03-09,4.306800,4.323600,4.303000,4.309100,4.309100,0
2017-03-10,4.324600,4.331990,4.315000,4.324600,4.324600,0
2017-03-13,4.332950,4.348070,4.332000,4.332890,4.332890,0
2017-03-14,4.329370,4.338260,4.316000,4.329250,4.329250,0
2017-03-15,4.315910,4.323880,4.307000,4.317400,4.317400,0
2017-03-16,4.311700,4.317100,4.291000,4.311700,4.311700,0
2017-03-17,4.309000,4.309800,4.282000,4.309200,4.309200,0
2017-03-20,4.282930,4.289700,4.271000,4.283800,4.283800,0
2017-03-21,4.262640,4.276300,4.256000,4.264300,4.264300,0
2017-03-22,4.276920,4.286810,4.271620,4.278100,4.278100,0
2017-03-23,4.278310,4.282100,4.260000,4.279600,4.279600,0
2017-03-24,4.264570,4.275010,4.256000,4.265300,4.265300,0
2017-03-27,4.263800,4.268800,4.242000,4.263030,4.263030,0
2017-03-28,4.245460,4.254150,4.228000,4.245700,4.245700,0
2017-03-29,4.239700,4.244100,4.220000,4.240700,4.240700,0
2017-03-30,4.224090,4.233760,4.206000,4.224600,4.224600,0
2017-03-31,4.211600,4.239400,4.208000,4.210800,4.210800,0
2017-04-03,4.229450,4.246600,4.216000,4.230500,4.230500,0
2017-04-04,4.234200,4.262010,4.232720,4.233070,4.233070,0
2017-04-05,4.247430,4.253070,4.222000,4.247500,4.247500,0
2017-04-06,4.229410,4.241000,4.218800,4.229870,4.229870,0
2017-04-07,4.231200,4.236290,4.214000,4.230150,4.230150,0
2017-04-10,4.221050,4.239790,4.217000,4.221620,4.221620,0
2017-04-11,4.232760,4.250900,4.230000,4.232750,4.232750,0
2017-04-12,4.247610,4.250650,4.240000,4.247410,4.247410,0
2017-04-13,4.248700,4.248960,4.236000,4.246920,4.246920,0
2017-04-14,4.245800,4.248700,4.234690,4.246400,4.246400,0
2017-04-17,4.234000,4.255200,4.233990,4.233890,4.233890,0
2017-04-18,4.245240,4.248400,4.225000,4.245490,4.245490,0
2017-04-19,4.229600,4.254900,4.227760,4.228470,4.228470,0
2017-04-20,4.257200,4.271110,4.250000,4.257200,4.257200,0
